{'Decanus': 42.72, 'Legatus legionis': 1.01, 'Decurion': 25.96, 'Centurion': 15.58, 'Praefectus castrorum': 5.8, 'Tribunus laticlavius': 1.92, 'Pilus prior': 8.2}
{'Gold Car Paint': 14.39, 'Red Car Paint': 14.81, 'Purple Car Paint': 14.39, 'Green Car Paint': 14.5, 'Black Car Paint': 14.68, 'Yellow Car Paint': 14.08, 'Blue Car Paint': 14.34}
{'Carbon Fiber': 11.55, 'Digital Camo': 7.92, 'MSMC Copper Matte': 8.08, 'TitaniumBlk': 12.17, 'Lambo Gold': 1.18, 'Cosmic Blue': 12.2, 'Matte Black': 12.62, 'Trippy Black/Red': 2.34, 'Trippy Yellow': 2.2, 'MSMC Copper Liquid': 7.85, 'Ice': 1.24, 'Holographic': 8.13, 'Lava': 2.33, 'Neon': 2.04, 'Hot Pink': 2.41, 'Trippy Red/Black': 2.38, 'Fire': 1.0, 'Electric': 1.17, 'Trippy Black/White': 2.38}
{'Guardian 1 / BASE': 42.03, 'Guardian 5 / WINGS': 5.59, 'Guardian 3': 16.57, 'Guardian 2': 25.45, 'Guardian 4': 11.55}
{'Daft Punk': 1.22, 'Green Eyes': 10.87, 'KILL Text': 6.22, 'X_X': 6.75, 'xD': 6.56, 'Blue Skull': 5.03, '$': 5.15, 'Blue Eyes': 10.37, 'Red Skull': 3.44, ':)': 6.57, 'o_o': 6.83, 'Heart': 7.24, 'SOL Symbol': 4.74, 'Mask': 2.31, 'Target': 2.44, 'Red Eyes': 10.76, 'Green Skull': 4.69}
1: Decanus, Gold Car Paint, Carbon Fiber, Guardian 1 / BASE, Daft Punk, No Weapon
6019: Decurion, Gold Car Paint, Matte Black, Guardian 4, Blue Eyes, No Weapon
6020: Centurion, Blue Car Paint, Neon, Guardian 1 / BASE, Blue Eyes, Sniper
6021: Decurion, Yellow Car Paint, Lambo Gold, Guardian 4, X_X, No Weapon
6022: Centurion, Gold Car Paint, Cosmic Blue, Guardian 1 / BASE, Green Eyes, Katana
6023: Pilus prior, Green Car Paint, Cosmic Blue, Guardian 2, Mask, Fire Sniper
6024: Pilus prior, Blue Car Paint, MSMC Copper Matte, Guardian 3, Green Eyes, No Weapon
6025: Decurion, Green Car Paint, Cosmic Blue, Guardian 4, KILL Text, No Weapon
6026: Decanus, Black Car Paint, Cosmic Blue, Guardian 1 / BASE, X_X, Katana
6027: Decurion, Purple Car Paint, TitaniumBlk, Guardian 1 / BASE, :), Ice Sniper
6028: Decanus, Green Car Paint, Carbon Fiber, Guardian 1 / BASE, Red Eyes, No Weapon
6029: Decurion, Gold Car Paint, Hot Pink, Guardian 3, Heart, No Weapon
6030: Decanus, Purple Car Paint, Trippy Black/White, Guardian 2, xD, Sniper
6031: Decanus, Green Car Paint, TitaniumBlk, Guardian 4, Green Skull, No Weapon
6032: Decanus, Red Car Paint, Holographic, Guardian 4, xD, No Weapon
6033: Centurion, Green Car Paint, Matte Black, Guardian 1 / BASE, KILL Text, Fire Katana
6034: Centurion, Gold Car Paint, TitaniumBlk, Guardian 3, xD, No Weapon
6035: Pilus prior, Black Car Paint, MSMC Copper Liquid, Guardian 2, X_X, Sniper
6036: Decanus, Blue Car Paint, Carbon Fiber, Guardian 4, Green Eyes, Sniper
6037: Decanus, Blue Car Paint, MSMC Copper Matte, Guardian 1 / BASE, Heart, Electric Sniper
6038: Centurion, Gold Car Paint, Trippy Black/White, Guardian 3, Green Eyes, No Weapon
6039: Decanus, Black Car Paint, Holographic, Guardian 1 / BASE, Heart, Katana
6040: Decurion, Black Car Paint, Digital Camo, Guardian 4, Green Skull, Sniper
6041: Centurion, Blue Car Paint, TitaniumBlk, Guardian 1 / BASE, :), No Weapon
6042: Pilus prior, Purple Car Paint, Carbon Fiber, Guardian 1 / BASE, Heart, Fire Katana
6043: Centurion, Purple Car Paint, MSMC Copper Matte, Guardian 1 / BASE, Green Skull, No Weapon
6044: Pilus prior, Green Car Paint, Holographic, Guardian 2, Red Eyes, No Weapon
6045: Decurion, Green Car Paint, Matte Black, Guardian 3, o_o, Ice Sniper
6046: Praefectus castrorum, Red Car Paint, Cosmic Blue, Guardian 1 / BASE, xD, Sniper
6047: Decurion, Black Car Paint, Lava, Guardian 1 / BASE, :), No Weapon
6048: Decanus, Green Car Paint, Cosmic Blue, Guardian 2, o_o, No Weapon
6049: Decanus, Black Car Paint, Carbon Fiber, Guardian 1 / BASE, X_X, Katana
6050: Pilus prior, Red Car Paint, Matte Black, Guardian 1 / BASE, Blue Eyes, Fire Sniper
6051: Decanus, Gold Car Paint, Lava, Guardian 2, Green Eyes, No Weapon
6052: Decanus, Black Car Paint, Trippy Black/Red, Guardian 2, Green Eyes, No Weapon
6053: Decanus, Blue Car Paint, MSMC Copper Liquid, Guardian 2, Blue Eyes, Katana
6054: Decanus, Red Car Paint, Neon, Guardian 1 / BASE, Heart, No Weapon
6055: Decanus, Red Car Paint, Trippy Yellow, Guardian 5 / WINGS, :), No Weapon
6056: Decurion, Purple Car Paint, Trippy Yellow, Guardian 2, Green Eyes, Fire Katana
6057: Decanus, Blue Car Paint, Neon, Guardian 1 / BASE, xD, Katana
6058: Decurion, Purple Car Paint, Digital Camo, Guardian 1 / BASE, SOL Symbol, No Weapon
6059: Legatus legionis, Green Car Paint, TitaniumBlk, Guardian 2, Blue Skull, Katana
6060: Decanus, Yellow Car Paint, Neon, Guardian 2, Green Eyes, No Weapon
6061: Decurion, Yellow Car Paint, Neon, Guardian 3, Blue Skull, Sniper
6062: Pilus prior, Purple Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, xD, No Weapon
6063: Decanus, Gold Car Paint, Cosmic Blue, Guardian 3, Red Skull, No Weapon
6064: Decanus, Yellow Car Paint, MSMC Copper Matte, Guardian 4, KILL Text, Ice Sniper
6065: Decurion, Red Car Paint, Hot Pink, Guardian 3, :), No Weapon
6066: Decanus, Green Car Paint, Trippy Black/Red, Guardian 1 / BASE, X_X, No Weapon
6067: Decanus, Red Car Paint, MSMC Copper Matte, Guardian 2, Red Eyes, No Weapon
6068: Tribunus laticlavius, Yellow Car Paint, Digital Camo, Guardian 2, Red Eyes, Sniper
6069: Decanus, Yellow Car Paint, Carbon Fiber, Guardian 3, Target, No Weapon
6070: Centurion, Red Car Paint, Matte Black, Guardian 1 / BASE, o_o, Katana
6071: Pilus prior, Gold Car Paint, Carbon Fiber, Guardian 5 / WINGS, Green Eyes, Katana
6072: Decanus, Yellow Car Paint, Neon, Guardian 1 / BASE, Heart, No Weapon
6073: Decanus, Yellow Car Paint, Carbon Fiber, Guardian 2, o_o, Sniper
6074: Decurion, Black Car Paint, MSMC Copper Matte, Guardian 3, Heart, No Weapon
6075: Decurion, Black Car Paint, Digital Camo, Guardian 1 / BASE, Green Eyes, No Weapon
6076: Praefectus castrorum, Blue Car Paint, Matte Black, Guardian 2, Green Eyes, No Weapon
6077: Decurion, Black Car Paint, Digital Camo, Guardian 3, KILL Text, Fire Katana
6078: Decurion, Blue Car Paint, MSMC Copper Matte, Guardian 1 / BASE, Blue Skull, No Weapon
6079: Decurion, Yellow Car Paint, TitaniumBlk, Guardian 1 / BASE, Target, No Weapon
6080: Decanus, Red Car Paint, Cosmic Blue, Guardian 2, Red Eyes, No Weapon
6081: Decurion, Blue Car Paint, Trippy Black/White, Guardian 2, Blue Skull, Sniper
6082: Decurion, Black Car Paint, TitaniumBlk, Guardian 1 / BASE, $, No Weapon
6083: Decanus, Green Car Paint, Trippy Red/Black, Guardian 4, $, Fire Katana
6084: Decurion, Red Car Paint, Matte Black, Guardian 1 / BASE, Green Eyes, No Weapon
6085: Decurion, Yellow Car Paint, Matte Black, Guardian 1 / BASE, Blue Eyes, Katana
6086: Decanus, Yellow Car Paint, Holographic, Guardian 1 / BASE, KILL Text, Sniper
6087: Decurion, Black Car Paint, Carbon Fiber, Guardian 3, Heart, No Weapon
6088: Decurion, Yellow Car Paint, Cosmic Blue, Guardian 1 / BASE, Target, No Weapon
6089: Decanus, Red Car Paint, TitaniumBlk, Guardian 1 / BASE, Green Eyes, No Weapon
6090: Decanus, Black Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, Daft Punk, No Weapon
6091: Praefectus castrorum, Black Car Paint, TitaniumBlk, Guardian 1 / BASE, Blue Eyes, No Weapon
6092: Decanus, Black Car Paint, TitaniumBlk, Guardian 2, :), No Weapon
6093: Decanus, Purple Car Paint, Digital Camo, Guardian 4, :), No Weapon
6094: Pilus prior, Gold Car Paint, Cosmic Blue, Guardian 1 / BASE, SOL Symbol, Fire Sniper
6095: Decanus, Yellow Car Paint, Cosmic Blue, Guardian 1 / BASE, Green Eyes, Sniper
6096: Decanus, Black Car Paint, Holographic, Guardian 3, $, No Weapon
6097: Decurion, Yellow Car Paint, Carbon Fiber, Guardian 5 / WINGS, xD, No Weapon
6098: Centurion, Red Car Paint, Carbon Fiber, Guardian 1 / BASE, o_o, Ice Sniper
6099: Decurion, Blue Car Paint, TitaniumBlk, Guardian 2, SOL Symbol, No Weapon
6100: Centurion, Blue Car Paint, MSMC Copper Matte, Guardian 1 / BASE, :), No Weapon
6101: Centurion, Blue Car Paint, Trippy Black/Red, Guardian 1 / BASE, X_X, No Weapon
6102: Decanus, Purple Car Paint, TitaniumBlk, Guardian 1 / BASE, Red Skull, Fire Sniper
6103: Decurion, Gold Car Paint, Matte Black, Guardian 1 / BASE, Green Eyes, Katana
6104: Decanus, Red Car Paint, Holographic, Guardian 1 / BASE, Blue Skull, Sniper
6105: Decanus, Blue Car Paint, Trippy Black/Red, Guardian 1 / BASE, X_X, No Weapon
6106: Centurion, Green Car Paint, Digital Camo, Guardian 5 / WINGS, Red Eyes, No Weapon
6107: Decanus, Green Car Paint, Matte Black, Guardian 3, Blue Eyes, Sniper
6108: Centurion, Blue Car Paint, Matte Black, Guardian 1 / BASE, Blue Eyes, No Weapon
6109: Decurion, Yellow Car Paint, Holographic, Guardian 1 / BASE, Red Skull, Fire Sniper
6110: Decurion, Yellow Car Paint, TitaniumBlk, Guardian 2, Green Skull, No Weapon
6111: Praefectus castrorum, Green Car Paint, Carbon Fiber, Guardian 1 / BASE, X_X, Ice Katana
6112: Centurion, Gold Car Paint, Matte Black, Guardian 4, X_X, Katana
6113: Decanus, Purple Car Paint, Digital Camo, Guardian 1 / BASE, xD, Ice Sniper
6114: Decanus, Purple Car Paint, Holographic, Guardian 1 / BASE, Heart, No Weapon
6115: Decurion, Blue Car Paint, Hot Pink, Guardian 2, X_X, Sniper
6116: Decanus, Gold Car Paint, Carbon Fiber, Guardian 1 / BASE, :), No Weapon
6117: Decurion, Black Car Paint, Holographic, Guardian 3, Red Eyes, No Weapon
6118: Decanus, Blue Car Paint, Trippy Yellow, Guardian 2, Blue Eyes, No Weapon
6119: Decanus, Blue Car Paint, Digital Camo, Guardian 3, :), No Weapon
6120: Decanus, Black Car Paint, Hot Pink, Guardian 4, Red Eyes, Sniper
6121: Centurion, Yellow Car Paint, Cosmic Blue, Guardian 1 / BASE, Red Eyes, Sniper
6122: Decanus, Green Car Paint, Trippy Black/Red, Guardian 1 / BASE, $, No Weapon
6123: Decanus, Blue Car Paint, Carbon Fiber, Guardian 1 / BASE, Green Eyes, No Weapon
6124: Centurion, Gold Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, Heart, No Weapon
6125: Pilus prior, Yellow Car Paint, TitaniumBlk, Guardian 2, Red Eyes, No Weapon
6126: Decurion, Black Car Paint, Neon, Guardian 3, Red Skull, No Weapon
6127: Praefectus castrorum, Gold Car Paint, TitaniumBlk, Guardian 1 / BASE, KILL Text, Fire Katana
6128: Centurion, Purple Car Paint, Holographic, Guardian 4, o_o, Elemental Katana X
6129: Decanus, Purple Car Paint, Lambo Gold, Guardian 2, Green Eyes, Katana
6130: Decurion, Red Car Paint, Fire, Guardian 4, Blue Eyes, No Weapon
6131: Decanus, Black Car Paint, Carbon Fiber, Guardian 4, Green Eyes, No Weapon
6132: Centurion, Blue Car Paint, Digital Camo, Guardian 3, :), Fire Katana
6133: Decanus, Gold Car Paint, Lava, Guardian 2, Blue Eyes, No Weapon
6134: Decanus, Black Car Paint, MSMC Copper Matte, Guardian 2, o_o, No Weapon
6135: Decanus, Blue Car Paint, Trippy Black/White, Guardian 3, KILL Text, No Weapon
6136: Centurion, Red Car Paint, Digital Camo, Guardian 2, Red Eyes, No Weapon
6137: Decurion, Green Car Paint, MSMC Copper Matte, Guardian 1 / BASE, X_X, No Weapon
6138: Decanus, Black Car Paint, Cosmic Blue, Guardian 3, Heart, Fire Sniper
6139: Centurion, Purple Car Paint, TitaniumBlk, Guardian 5 / WINGS, Target, No Weapon
6140: Centurion, Red Car Paint, Matte Black, Guardian 2, o_o, Katana
6141: Decurion, Purple Car Paint, Matte Black, Guardian 4, Heart, No Weapon
6142: Pilus prior, Green Car Paint, Matte Black, Guardian 2, o_o, No Weapon
6143: Decanus, Purple Car Paint, Holographic, Guardian 4, Heart, Sniper
6144: Decanus, Blue Car Paint, Cosmic Blue, Guardian 1 / BASE, Target, Sniper
6145: Pilus prior, Gold Car Paint, Matte Black, Guardian 5 / WINGS, X_X, No Weapon
6146: Decanus, Green Car Paint, TitaniumBlk, Guardian 1 / BASE, KILL Text, No Weapon
6147: Decanus, Blue Car Paint, Cosmic Blue, Guardian 1 / BASE, Red Eyes, Ice Sniper
6148: Decanus, Red Car Paint, Cosmic Blue, Guardian 4, xD, No Weapon
6149: Praefectus castrorum, Yellow Car Paint, Matte Black, Guardian 3, Blue Eyes, No Weapon
6150: Decanus, Yellow Car Paint, Carbon Fiber, Guardian 2, Green Skull, Sniper
6151: Decurion, Purple Car Paint, Digital Camo, Guardian 2, Mask, Fire Sniper
6152: Decurion, Blue Car Paint, Trippy Black/Red, Guardian 1 / BASE, Green Eyes, Sniper
6153: Decanus, Red Car Paint, Lambo Gold, Guardian 3, Heart, No Weapon
6154: Decanus, Black Car Paint, Digital Camo, Guardian 5 / WINGS, o_o, No Weapon
6155: Decurion, Purple Car Paint, TitaniumBlk, Guardian 3, xD, No Weapon
6156: Decurion, Purple Car Paint, Cosmic Blue, Guardian 1 / BASE, Red Eyes, Katana
6157: Decanus, Black Car Paint, Matte Black, Guardian 1 / BASE, X_X, Katana
6158: Decanus, Yellow Car Paint, Holographic, Guardian 3, Heart, Flamethrower X
6159: Decurion, Black Car Paint, Trippy Yellow, Guardian 1 / BASE, KILL Text, No Weapon
6160: Decanus, Black Car Paint, Matte Black, Guardian 3, o_o, No Weapon
6161: Decurion, Red Car Paint, Trippy Black/Red, Guardian 1 / BASE, Green Eyes, Fire Sniper
6162: Centurion, Blue Car Paint, Matte Black, Guardian 4, Blue Eyes, No Weapon
6163: Decurion, Blue Car Paint, Matte Black, Guardian 4, Green Eyes, No Weapon
6164: Legatus legionis, Gold Car Paint, Trippy Red/Black, Guardian 3, Red Eyes, No Weapon
6165: Decurion, Blue Car Paint, Ice, Guardian 1 / BASE, Daft Punk, No Weapon
6166: Centurion, Yellow Car Paint, TitaniumBlk, Guardian 3, Heart, No Weapon
6167: Praefectus castrorum, Green Car Paint, MSMC Copper Liquid, Guardian 3, KILL Text, No Weapon
6168: Decurion, Green Car Paint, Trippy Black/White, Guardian 1 / BASE, Green Eyes, No Weapon
6169: Decanus, Purple Car Paint, Trippy Yellow, Guardian 3, Blue Eyes, Sniper
6170: Decurion, Red Car Paint, Trippy Red/Black, Guardian 1 / BASE, Green Eyes, No Weapon
6171: Decurion, Gold Car Paint, TitaniumBlk, Guardian 1 / BASE, Blue Eyes, Ice Sniper
6172: Decanus, Blue Car Paint, Carbon Fiber, Guardian 3, Green Skull, Katana
6173: Decanus, Gold Car Paint, Holographic, Guardian 4, Blue Eyes, No Weapon
6174: Decanus, Yellow Car Paint, MSMC Copper Liquid, Guardian 2, Mask, No Weapon
6175: Centurion, Purple Car Paint, Holographic, Guardian 1 / BASE, Blue Eyes, No Weapon
6176: Decanus, Gold Car Paint, Trippy Black/White, Guardian 4, Blue Eyes, No Weapon
6177: Decanus, Purple Car Paint, Matte Black, Guardian 1 / BASE, KILL Text, Katana
6178: Decurion, Purple Car Paint, Trippy Red/Black, Guardian 1 / BASE, SOL Symbol, Fire Sniper
6179: Tribunus laticlavius, Red Car Paint, Digital Camo, Guardian 1 / BASE, KILL Text, Ice Sniper
6180: Decurion, Red Car Paint, TitaniumBlk, Guardian 2, KILL Text, No Weapon
6181: Decurion, Gold Car Paint, Neon, Guardian 3, SOL Symbol, Fire Sniper
6182: Decurion, Blue Car Paint, Trippy Black/Red, Guardian 3, Blue Eyes, No Weapon
6183: Centurion, Green Car Paint, Matte Black, Guardian 1 / BASE, KILL Text, Katana
6184: Centurion, Green Car Paint, Matte Black, Guardian 2, $, No Weapon
6185: Decanus, Blue Car Paint, Cosmic Blue, Guardian 1 / BASE, X_X, Electric Katana
6186: Decanus, Blue Car Paint, MSMC Copper Matte, Guardian 2, Blue Skull, No Weapon
6187: Decurion, Green Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, Red Eyes, Electric Sniper
6188: Decurion, Red Car Paint, Trippy Black/White, Guardian 1 / BASE, Blue Eyes, No Weapon
6189: Decurion, Blue Car Paint, MSMC Copper Matte, Guardian 2, KILL Text, Sniper
6190: Centurion, Yellow Car Paint, Carbon Fiber, Guardian 2, KILL Text, Katana
6191: Decurion, Gold Car Paint, Digital Camo, Guardian 4, Green Eyes, No Weapon
6192: Centurion, Black Car Paint, Digital Camo, Guardian 1 / BASE, X_X, Ice Katana
6193: Decanus, Black Car Paint, Digital Camo, Guardian 1 / BASE, Blue Eyes, Sniper
6194: Decanus, Blue Car Paint, Trippy Red/Black, Guardian 3, Target, Katana
6195: Decurion, Blue Car Paint, Carbon Fiber, Guardian 3, KILL Text, Katana
6196: Decurion, Black Car Paint, Matte Black, Guardian 5 / WINGS, o_o, No Weapon
6197: Decanus, Gold Car Paint, TitaniumBlk, Guardian 2, SOL Symbol, No Weapon
6198: Decanus, Green Car Paint, Trippy Red/Black, Guardian 1 / BASE, Blue Skull, Sniper
6199: Decanus, Gold Car Paint, Trippy Black/Red, Guardian 2, Target, Katana
6200: Decanus, Green Car Paint, Trippy Black/White, Guardian 4, Blue Eyes, Sniper
6201: Decurion, Blue Car Paint, Carbon Fiber, Guardian 2, SOL Symbol, No Weapon
6202: Centurion, Purple Car Paint, Holographic, Guardian 4, Heart, No Weapon
6203: Decurion, Blue Car Paint, Cosmic Blue, Guardian 2, xD, Sniper
6204: Decanus, Blue Car Paint, Lambo Gold, Guardian 2, :), No Weapon
6205: Decurion, Purple Car Paint, Trippy Red/Black, Guardian 4, KILL Text, Ice Sniper
6206: Decanus, Green Car Paint, Hot Pink, Guardian 3, Blue Eyes, No Weapon
6207: Centurion, Gold Car Paint, Matte Black, Guardian 1 / BASE, :), No Weapon
6208: Praefectus castrorum, Purple Car Paint, Lambo Gold, Guardian 1 / BASE, SOL Symbol, No Weapon
6209: Decanus, Red Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, Mask, No Weapon
6210: Decanus, Blue Car Paint, Matte Black, Guardian 1 / BASE, xD, No Weapon
6211: Decanus, Yellow Car Paint, MSMC Copper Matte, Guardian 1 / BASE, Blue Eyes, Ice Katana
6212: Decurion, Yellow Car Paint, Holographic, Guardian 1 / BASE, Blue Eyes, Fire Katana
6213: Decurion, Yellow Car Paint, Carbon Fiber, Guardian 1 / BASE, X_X, No Weapon
6214: Decurion, Black Car Paint, Trippy Black/White, Guardian 1 / BASE, Heart, Sniper
6215: Praefectus castrorum, Blue Car Paint, TitaniumBlk, Guardian 3, Red Eyes, No Weapon
6216: Decurion, Gold Car Paint, TitaniumBlk, Guardian 2, Red Skull, No Weapon
6217: Decurion, Red Car Paint, Cosmic Blue, Guardian 4, Green Skull, Sniper
6218: Decanus, Purple Car Paint, Lava, Guardian 1 / BASE, KILL Text, No Weapon
6219: Pilus prior, Blue Car Paint, Carbon Fiber, Guardian 3, Green Eyes, No Weapon
6220: Decanus, Green Car Paint, TitaniumBlk, Guardian 1 / BASE, xD, Flamethrower X
6221: Pilus prior, Blue Car Paint, TitaniumBlk, Guardian 3, xD, No Weapon
6222: Decurion, Blue Car Paint, Holographic, Guardian 1 / BASE, Target, Katana
6223: Decanus, Green Car Paint, Neon, Guardian 4, xD, No Weapon
6224: Decurion, Blue Car Paint, Matte Black, Guardian 1 / BASE, Red Eyes, No Weapon
6225: Decanus, Purple Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, xD, No Weapon
6226: Decanus, Purple Car Paint, TitaniumBlk, Guardian 3, Green Eyes, Katana
6227: Centurion, Gold Car Paint, TitaniumBlk, Guardian 1 / BASE, $, No Weapon
6228: Decanus, Black Car Paint, TitaniumBlk, Guardian 1 / BASE, Blue Skull, No Weapon
6229: Decurion, Blue Car Paint, TitaniumBlk, Guardian 2, Mask, No Weapon
6230: Centurion, Green Car Paint, Lava, Guardian 1 / BASE, KILL Text, Fire Sniper
6231: Decanus, Black Car Paint, Holographic, Guardian 3, Red Eyes, No Weapon
6232: Decanus, Yellow Car Paint, Holographic, Guardian 3, Blue Eyes, No Weapon
6233: Decurion, Gold Car Paint, Digital Camo, Guardian 1 / BASE, Green Eyes, No Weapon
6234: Decanus, Yellow Car Paint, Trippy Black/White, Guardian 2, Blue Eyes, Katana
6235: Decurion, Yellow Car Paint, Carbon Fiber, Guardian 3, :), Elemental Sniper X
6236: Decanus, Purple Car Paint, Matte Black, Guardian 5 / WINGS, Blue Eyes, No Weapon
6237: Praefectus castrorum, Yellow Car Paint, Neon, Guardian 1 / BASE, Red Eyes, No Weapon
6238: Decanus, Red Car Paint, TitaniumBlk, Guardian 4, Green Eyes, No Weapon
6239: Decurion, Purple Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, Green Skull, No Weapon
6240: Centurion, Black Car Paint, Cosmic Blue, Guardian 1 / BASE, Blue Eyes, Flamethrower X
6241: Decanus, Gold Car Paint, MSMC Copper Matte, Guardian 3, SOL Symbol, No Weapon
6242: Praefectus castrorum, Blue Car Paint, Matte Black, Guardian 1 / BASE, Heart, No Weapon
6243: Decanus, Blue Car Paint, Cosmic Blue, Guardian 1 / BASE, Red Eyes, Sniper
6244: Decanus, Black Car Paint, Trippy Black/Red, Guardian 1 / BASE, X_X, No Weapon
6245: Praefectus castrorum, Purple Car Paint, Carbon Fiber, Guardian 3, o_o, Katana
6246: Praefectus castrorum, Blue Car Paint, Holographic, Guardian 5 / WINGS, X_X, No Weapon
6247: Decurion, Gold Car Paint, TitaniumBlk, Guardian 2, Mask, No Weapon
6248: Centurion, Red Car Paint, Digital Camo, Guardian 1 / BASE, X_X, Electric Sniper
6249: Centurion, Gold Car Paint, Hot Pink, Guardian 5 / WINGS, Target, Katana
6250: Decanus, Yellow Car Paint, Ice, Guardian 1 / BASE, o_o, Katana
6251: Pilus prior, Gold Car Paint, Holographic, Guardian 1 / BASE, Green Skull, Ice Katana
6252: Praefectus castrorum, Yellow Car Paint, Matte Black, Guardian 3, Heart, No Weapon
6253: Decanus, Green Car Paint, Digital Camo, Guardian 1 / BASE, Green Skull, No Weapon
6254: Decurion, Black Car Paint, Ice, Guardian 2, Mask, No Weapon
6255: Pilus prior, Yellow Car Paint, MSMC Copper Liquid, Guardian 2, KILL Text, No Weapon
6256: Decurion, Black Car Paint, MSMC Copper Matte, Guardian 1 / BASE, KILL Text, No Weapon
6257: Decanus, Green Car Paint, MSMC Copper Matte, Guardian 1 / BASE, xD, Sniper
6258: Praefectus castrorum, Blue Car Paint, Trippy Yellow, Guardian 1 / BASE, Red Eyes, Sniper
6259: Decanus, Black Car Paint, Lambo Gold, Guardian 2, X_X, No Weapon
6260: Centurion, Red Car Paint, MSMC Copper Matte, Guardian 1 / BASE, Green Eyes, Fire Sniper
6261: Centurion, Red Car Paint, TitaniumBlk, Guardian 1 / BASE, $, Sniper
6262: Decanus, Gold Car Paint, Matte Black, Guardian 1 / BASE, Red Eyes, No Weapon
6263: Decurion, Green Car Paint, Cosmic Blue, Guardian 1 / BASE, KILL Text, Ice Sniper
6264: Centurion, Yellow Car Paint, Hot Pink, Guardian 1 / BASE, Blue Eyes, No Weapon
6265: Decanus, Green Car Paint, Ice, Guardian 4, Red Eyes, No Weapon
6266: Centurion, Black Car Paint, MSMC Copper Matte, Guardian 4, X_X, No Weapon
6267: Praefectus castrorum, Blue Car Paint, Cosmic Blue, Guardian 2, Red Eyes, No Weapon
6268: Decanus, Blue Car Paint, Matte Black, Guardian 2, Heart, Electric Sniper
6269: Tribunus laticlavius, Blue Car Paint, Cosmic Blue, Guardian 1 / BASE, o_o, Ice Sniper
6270: Decanus, Gold Car Paint, MSMC Copper Liquid, Guardian 2, X_X, Ice Sniper
6271: Decurion, Purple Car Paint, Electric, Guardian 1 / BASE, X_X, No Weapon
6272: Decanus, Green Car Paint, Trippy Red/Black, Guardian 4, Green Eyes, Sniper
6273: Decurion, Red Car Paint, Matte Black, Guardian 1 / BASE, o_o, No Weapon
6274: Decanus, Red Car Paint, MSMC Copper Liquid, Guardian 3, Red Skull, Fire Katana
6275: Legatus legionis, Yellow Car Paint, Holographic, Guardian 2, Blue Skull, Sniper
6276: Tribunus laticlavius, Black Car Paint, TitaniumBlk, Guardian 1 / BASE, $, No Weapon
6277: Pilus prior, Green Car Paint, Trippy Black/White, Guardian 3, Red Eyes, No Weapon
6278: Centurion, Gold Car Paint, Digital Camo, Guardian 1 / BASE, Blue Eyes, No Weapon
6279: Decurion, Black Car Paint, MSMC Copper Liquid, Guardian 2, Heart, Fire Sniper
6280: Pilus prior, Gold Car Paint, TitaniumBlk, Guardian 1 / BASE, Blue Eyes, No Weapon
6281: Decanus, Black Car Paint, MSMC Copper Liquid, Guardian 3, :), Fire Katana
6282: Pilus prior, Red Car Paint, Hot Pink, Guardian 4, Blue Eyes, No Weapon
6283: Legatus legionis, Red Car Paint, Cosmic Blue, Guardian 5 / WINGS, Blue Eyes, No Weapon
6284: Decanus, Red Car Paint, Trippy Yellow, Guardian 3, X_X, No Weapon
6285: Praefectus castrorum, Green Car Paint, Matte Black, Guardian 1 / BASE, Blue Eyes, No Weapon
6286: Decanus, Gold Car Paint, Trippy Black/White, Guardian 1 / BASE, KILL Text, No Weapon
6287: Decanus, Gold Car Paint, Trippy Red/Black, Guardian 5 / WINGS, :), No Weapon
6288: Pilus prior, Gold Car Paint, TitaniumBlk, Guardian 3, Red Eyes, Katana
6289: Decanus, Gold Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, o_o, Fire Katana
6290: Decanus, Purple Car Paint, MSMC Copper Liquid, Guardian 3, Blue Eyes, No Weapon
6291: Pilus prior, Gold Car Paint, Carbon Fiber, Guardian 4, Red Skull, Sniper
6292: Decanus, Blue Car Paint, TitaniumBlk, Guardian 2, xD, Katana
6293: Decurion, Green Car Paint, Cosmic Blue, Guardian 1 / BASE, Heart, No Weapon
6294: Decurion, Yellow Car Paint, Lava, Guardian 2, KILL Text, No Weapon
6295: Decurion, Gold Car Paint, Holographic, Guardian 1 / BASE, Blue Eyes, Sniper
6296: Centurion, Black Car Paint, Carbon Fiber, Guardian 2, KILL Text, No Weapon
6297: Pilus prior, Black Car Paint, Fire, Guardian 5 / WINGS, Blue Eyes, No Weapon
6298: Decanus, Purple Car Paint, Cosmic Blue, Guardian 3, Red Skull, No Weapon
6299: Praefectus castrorum, Purple Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, Blue Skull, No Weapon
6300: Decanus, Gold Car Paint, Trippy Black/Red, Guardian 2, xD, No Weapon
6301: Decurion, Green Car Paint, TitaniumBlk, Guardian 5 / WINGS, Heart, No Weapon
6302: Decurion, Green Car Paint, Matte Black, Guardian 1 / BASE, Green Eyes, Fire Katana
